Kỳ hạn,Cá nhân VND,Cá nhân USD,Cá nhân EUR,Tổ chức VND,Tổ chức USD,Tổ chức Euro
Không kỳ hạn,"0,10","0,00","0,00","0,20","0,00","0,00"
Dưới 1 tháng,"0,20","0,00","0,00","0,20","0,00","0,00"
Từ 1 tháng đến dưới 2 tháng,"4,90","0,00","0,10","4,60","0,00","0,10"
Từ 2 tháng đến dưới 3 tháng,"4,90","0,00","0,10","4,60","0,00","0,10"
Từ 3 tháng đến dưới 4 tháng,"5,40","0,00","0,10","5,10","0,00","0,10"
Từ 4 tháng đến dưới 5 tháng,"5,40","0,00","0,10","5,10","0,00","0,10"
Từ 5 tháng đến dưới 6 tháng,"5,40","0,00","0,10","5,10","0,00","0,10"
Từ 6 tháng đến dưới 7 tháng,"5,80","0,00","0,10","5,50","0,00","0,10"
Từ 7 tháng đến dưới 8 tháng,"5,80","0,00","0,10","5,50","0,00","0,10"
Từ 8 tháng đến dưới 9 tháng,"5,80","0,00","0,10","5,50","0,00","0,10"
Từ 9 tháng đến dưới 10 tháng,"5,80","0,00","0,10","5,50","0,00","0,10"
Từ 10 tháng đến dưới 11 tháng,"5,80","0,00","0,10","5,50","0,00","0,10"
Từ 11 tháng đến dưới 12 tháng,"5,80","0,00","0,10","5,50","0,00","0,10"
12 tháng,"7,20","0,00","0,20","6,00","0,00","0,20"
Trên 12 tháng đến dưới 18 tháng,"7,20","0,00","0,20","6,00","0,00","0,20"
Từ 18 tháng đến dưới 24 tháng,"7,20","0,00","0,20","6,00","0,00","0,20"
Từ 24 tháng đến dưới 36 tháng,"7,20","0,00","0,20","6,00","0,00","0,20"
36 tháng,"7,20","0,00","0,20","6,00","0,00","0,20"
Trên 36 tháng,"7,20","0,00","0,20","6,00","0,00","0,20"
