Kỳ hạn,Tại quầy,Online,USD
Không kỳ hạn,0.50,0.50,0.00
1 tuần,0.50,0.50,0.00
2 tuần,0.50,0.50,0.00
3 tuần,0.50,0.50,0.00
01 tháng,5.50,5.50,0.00
02 tháng,5.50,5.50,0.00
03 tháng,5.50,5.50,0.00
04 tháng,5.50,5.50,0.00
05 tháng,5.50,5.50,0.00
06 tháng,7.80,7.90,0.00
07 tháng,7.80,7.90,0.00
08 tháng,7.80,7.90,0.00
09 tháng,7.90,8.00,0.00
10 tháng,7.90,8.00,0.00
11 tháng,7.90,8.00,0.00
12 tháng,8.00,8.10,0.00
13 tháng,8.00,8.10,0.00
15 tháng,8.00,8.10,0.00
18 tháng,8.00,8.10,0.00
24 tháng,8.00,8.10,0.00
36 tháng,8.00,8.10,0.00
